State,R2 Score,RMSE,MAE,MAPE (%)
Tripura,-5.3096,10.65,10.63,3.57
Goa,-13.4534,10.8,10.78,3.61
Nagaland,-4.6944,9.86,9.84,3.34
Arunachal_Pradesh,-0.9781,9.23,9.2,3.17
Jharkhand,-4.0014,10.78,10.76,3.63
Karnataka,-20.6483,10.39,10.38,3.49
Assam,-4.4232,10.19,10.18,3.43
Maharashtra,-16.2174,11.41,11.39,3.83
Punjab,-1.1867,10.05,10.02,3.4
Meghalaya,-5.5514,9.88,9.85,3.33
Manipur,-4.8252,9.77,9.74,3.3
Mizoram,-6.3858,10.02,10.0,3.37
Odisha,-6.9111,10.81,10.79,3.62
West_Bengal,-4.0451,10.72,10.7,3.6
Tamil_Nadu,-11.4487,10.6,10.57,3.54
Uttar_Pradesh,-2.8254,11.47,11.44,3.86
Bihar,-2.9837,10.87,10.83,3.65
Uttarakhand,0.1031,8.36,8.29,2.88
Himachal_Pradesh,0.6386,8.46,8.13,2.86
Gujarat,-6.0049,11.01,10.99,3.7
Chhattisgarh,-6.8818,10.57,10.55,3.55
Haryana,-1.6089,10.65,10.62,3.6
Telangana,-11.1989,11.15,11.14,3.74
Madhya_Pradesh,-5.4572,10.68,10.66,3.6
Kerala,-12.2671,10.9,10.88,3.63
Andhra_Pradesh,-9.7939,11.1,11.09,3.71
Rajasthan,-2.4042,10.62,10.6,3.58
Sikkim,-0.3825,10.3,10.07,3.49
